lat,lon,doc,id
41.5329,-87.2684,2,1501
41.5329,-87.255,1,1502
41.53304,-87.66439,1,1503
41.5332,-87.5129,1,1504
41.5335,-88.0815,1,1505
41.53397,-87.69524,2,1506
41.5342,-87.6965,18,1507
41.53423,-87.79041,2,1508
41.53425,-87.69652,4,1509
41.53447,-88.19836,2,1510
41.5345,-88.1984,1,1511
41.53459,-88.15971,3,1512
41.5353,-88.051,8,1513
41.53531,-88.0499,2,1514
41.5355,-87.5125,14,1515
41.5358,-88.098,1,1516
41.53587,-88.15969,3,1517
41.5359,-88.1194,4,1518
41.5359,-88.0983,1,1519
41.5361,-88.0509,1,1520
41.5361,-87.5232,1,1521
41.5364,-88.0521,2,1522
41.5365,-87.4824,1,1523
41.53661,-88.12528,1,1524
41.5367,-87.2527,1,1525
41.53671,-87.51323,1,1526
41.5368,-87.4891,4,1527
41.5368,-87.4879,4,1528
41.5368,-87.4512,1,1529
41.537,-87.454,3,1530
41.53702,-87.45402,1,1531
41.5371,-88.1483,3,1532
41.5371,-87.8893,2,1533
41.5371,-87.4867,2,1534
41.5371,-87.4638,2,1535
41.53711,-87.51119,1,1536
41.53713,-88.07275,1,1537
41.53716,-87.48135,2,1538
41.5372,-87.433,1,1539
41.5373,-88.0728,1,1540
41.5373,-87.4381,1,1541
41.53733,-87.47599,1,1542
41.5374,-87.476,3,1543
41.5374,-87.4402,1,1544
41.5374,-87.4401,1,1545
41.5375,-88.1473,4,1546
41.5375,-88.1258,2,1547
41.5375,-87.4493,1,1548
41.53755,-87.43791,1,1549
41.5376,-87.489,1,1550
41.5376,-87.4889,1,1551
41.5376,-87.4812,2,1552
41.5376,-87.4383,1,1553
41.5376,-87.4376,1,1554
41.53762,-87.48222,1,1555
41.53763,-88.12509,1,1556
41.53765,-87.48964,2,1557
41.53778,-87.46501,1,1558
41.5378,-87.4754,1,1559
41.5378,-87.4742,1,1560
41.5378,-87.4733,1,1561
41.5379,-88.1258,1,1562
41.5379,-87.4722,1,1563
41.5379,-87.4522,1,1564
41.53799,-87.51205,3,1565
41.538,-88.0725,2,1566
41.538,-87.512,12,1567
41.538,-87.4725,2,1568
41.538,-87.4576,1,1569
41.5381,-88.1521,2,1570
41.5382,-87.4647,5,1571
41.5385,-88.1262,2,1572
41.5386,-87.6361,1,1573
41.53862,-87.86019,1,1574
41.5387,-88.1994,1,1575
41.5387,-88.1521,13,1576
41.5391,-88.1612,6,1577
41.5393,-88.1628,1,1578
41.5393,-87.5108,7,1579
41.5394,-88.1032,2,1580
41.53951,-87.59797,1,1581
41.5397,-87.5103,5,1582
41.5397,-87.51017,1,1583
41.53971,-87.51023,3,1584
41.5398,-87.6882,1,1585
41.5398,-87.5118,2,1586
41.5399,-88.1518,5,1587
41.53991,-87.85536,1,1588
41.5401,-87.8313,1,1589
41.5402,-88.1502,1,1590
41.5402,-87.8313,1,1591
41.5403,-88.0469,1,1592
41.5403,-87.51,17,1593
41.54035,-87.50998,1,1594
41.5407,-88.1607,1,1595
41.54085,-88.16076,2,1596
41.5409,-88.1599,1,1597
41.54093,-87.51105,5,1598
41.5411,-88.1623,8,1599
41.5413,-87.8481,1,1600
41.54136,-87.64864,1,1601
41.5417,-87.3687,1,1602
41.54176,-87.57558,1,1603
41.542,-88.1601,3,1604
41.5422,-88.16,3,1605
41.5422,-87.85,1,1606
41.5423,-87.6809,1,1607
41.54235,-87.56015,1,1608
41.5424,-88.1251,1,1609
41.5426,-87.84,4,1610
